Name;;MED;type;pages
Abipon;;Samuel A. Lafone Quevedo 1894;long_grammar;367
Acroá;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Aewa;;Lev Michael and Christine Beier 2012;phonology_or_text;10
Akurio;;de Goeje, Claudius Henricus 1946;wordlist_or_less;31
Alacalufe-Austral;;Hyades, Paul and Joseph Deniker 1891;wordlist_or_less;72
Alacalufe-Central;;Borgatello, Maggiorino 1928;grammar_sketch;62
Allentiac;;Luis de Valdivia 1894 [1607];grammar_sketch;172
Amanayé;;Jefferson Fernando Barbosa 2002;phonology_or_text;
Anambé;;Julião, Maria Risolêta Silva 2005;grammar;219
Anauyá;;Henri Ramirez 2001;wordlist_or_less;12
Andaqui;;Coronas Urzúa, Gabriela 1994;phonology_or_text;30
Andoa;;Sargent, Mary and Peeke, M. Catherine 1959;phonology_or_text;
Andoquero;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Anserma;;Rendón G., Guillermo 2011;phonology_or_text;144
Antioquian;;Marcela Duque and Ivan Darío Espinosa 1994;wordlist_or_less;142
Apiaka-Tocantins;;Paul Ehrenreich 1895;wordlist_or_less;9
Apiaká;;Sousa, Suseile Andrade 2017;phonology_or_text;103
Apolista;;Swintha Danielsen 2013;wordlist_or_less;2
Araicu;;Henri Ramirez 2001;wordlist_or_less;12
Arapaso;;Brüzzi Alves da Silva, Alcionilio 1972;wordlist_or_less;3
Arazaire;;Enrique S. Llosa 1906;wordlist_or_less;5
Arikapú;;van der Voort, Hein 2005;grammar_sketch;10
Arikem;;Rondon, Cándido M. S. and de Faria, João Barbosa 1948;wordlist_or_less;10
Aroaqui;;Henri Ramirez 2020;wordlist_or_less;7
Aruan;;Ferreira Penna, Domingos Soares 1879;wordlist_or_less;11
Aruá (Amazonas State);;William Chandless 1869;wordlist_or_less;16
Atacame;;Teodoro Wolf 1892;wordlist_or_less;342
Atsahuaca;;Erland Nordenskiöld 1905;wordlist_or_less;10
Aurê y Aurá;;Mello, Antonio Souza 1996;wordlist_or_less;15
Aushiri;;Espinosa Pérez, Lucas 1955;wordlist_or_less;2
Berbice Creole Dutch;;Sylvia Kouwenberg 1994;long_grammar;711
Betoi-Jirara;;Raoul Zamponi 2003;grammar_sketch;64
Bonari;;de Sousa, Francisco Bernardino 1875;wordlist_or_less;2
Cahuarano;;Günter Tessmann 1930;wordlist_or_less;6
Canari;;Jijón y Caamaño, Jacinto 1940, 1941, 1943, 1945;wordlist_or_less;371
Canichana;;Mily Crevels 2012;grammar_sketch;35
Capoxo;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Caquetio;;A. J. van Koolwijk 1882;wordlist_or_less;4
Caramanta;;Daniel, H. 1954;wordlist_or_less;5
Carari;;Willem F.H. Adelaar and Hélène B. Brijnen 2014;wordlist_or_less;1
Cariay;;Henri Ramirez 2001;wordlist_or_less;12
Cashinawa of the Tarauacá river;;Paul Rivet and Tastevin, Constant 1927, 1929;wordlist_or_less;4
Cayubaba;;Key, Harold 1963;grammar_sketch;96
Chaná;;Viegas Barros, J. Pedro 2008;phonology_or_text;15
Chapakura;;Montaño Aragón, Mario 1987;wordlist_or_less;20
Charrúa;;Rona, José Pedro 1964;wordlist_or_less;32
Chibcha;;de Lugo, Fray Bernardo 1619;grammar;158
Chincha Quechua;;Aviva Shimelman 2017;grammar;72
Chiriva;;Palau, Mercedes and Blanca Saiz 1989 [1794];wordlist_or_less;16
Cholón;;Astrid Alexander-Bakkerus 2005;long_grammar;533
Chono;;Bausani, Alessandro 1975;wordlist_or_less;10
Classical Quechua;;de Santo Thomas, Domingo 1995 [1560];grammar;245
Coeruna;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Coroado-Puri;;Čestmír Loukotka 1937;wordlist_or_less;10
Cotoxo;;Silva Martins, Andérbio Márcio 2007;wordlist_or_less;5
Culli;;Andrade Ciudad, Luis 1995;wordlist_or_less;94
Cumanagoto;;Julius Platzmann 1886;grammar_sketch;348
Demushbo;;Fleck, David W. 2010;phonology_or_text;18
Duit;;Ezekiel Uricoechea 1871;phonology_or_text;2
Geico;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Guachi;;Viegas Barros, José Pedro 2004;wordlist_or_less;12
Guamo;;Sergio Elías Ortiz 1965;wordlist_or_less;51
Gueren;;Čestmír Loukotka 1955;wordlist_or_less;12
Guinau;;Henri Ramirez 2001;wordlist_or_less;12
Güenoa;;Lorenzo Hervas 1787;phonology_or_text;3
Haush;;Lista, Ramón 1887;wordlist_or_less;39
Hibito;;Günter Tessmann 1930;wordlist_or_less;6
Ingain;;de Freitas, Affonso A. 1910;wordlist_or_less;21
Jirajaran;;Constenla Umaña, Adolfo 1991;phonology_or_text;3
Jorá;;Swintha Danielsen and Noé Gasparini 2015;wordlist_or_less;13
Jumana;;Henri Ramirez 2001;wordlist_or_less;12
Juri;;Sergio Elías Ortiz 1965;wordlist_or_less;51
Kaishana;;Wanda Hanke 1960;wordlist_or_less;28
Kamakan;;Grahl, João Arthur Pugsley 2009;phonology_or_text;135
Kankuamo;;Ortíz Ricaurte, Carolina 2000;phonology_or_text;22
Karipuna;;Keller, Franz 1875;wordlist_or_less;137
Kariri;;de Queiroz, José Márcio Correia 2012;long_grammar;427
Katawixi;;Čestmír Loukotka 1949;wordlist_or_less;1
Kepkiriwát;;Rondon, Cándido M. S. and de Faria, João Barbosa 1948;wordlist_or_less;10
Kimda;;Lista, Ramón 1883;wordlist_or_less;124
Kitemoka;;de Créqui-Montfort, Georges and Paul Rivet 1913;wordlist_or_less;9
Koropó;;Čestmír Loukotka 1937;wordlist_or_less;10
Kueretu;;Tastevin, Constant 1996;wordlist_or_less;26
Kunza;;R. R. Schuller 1908;grammar_sketch;123
Kuruáya;;da Silva, Elissandra Barros 2009;phonology_or_text;139
Kustenau;;Karl von den Steinen 1894;wordlist_or_less;37
Leco;;Samuel A. Lafone Quevedo 1905;grammar_sketch;62
Lingua Geral Paulista;;Leite, Fabiana Raquel 2013;wordlist_or_less;214
Lule;;Antonio Maccioni 2008 [1732];grammar_sketch;369
Mabenaro;;Farabee, William C. 1922;wordlist_or_less;7
Macaguaje;;Friede, Juan 1945;wordlist_or_less;8
Macuni;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Maipure-Avane;;Raoul Zamponi 2003;grammar_sketch;92
Malali;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Manao;;Maria de Lourdes Joyce 1951;phonology_or_text;81
Mandahuaca;;Tavera-Acosta, Bartolomé 1907;wordlist_or_less;35
Maragua;;Henri Ramirez 2001;wordlist_or_less;12
Maritsauá;;Karl von den Steinen 1886;wordlist_or_less;64
Masacara;;Silva Martins, Andérbio Márcio 2007;wordlist_or_less;5
Matanawí;;Valio Antunes Alves, Diego 2019;phonology_or_text;43
Mato Grosso Arára;;Hugo, Vitor 1959;wordlist_or_less;23
Mayoruna-Amazon;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Mayoruna-Jandiatuba;;de Alviano, Fidelis 1957;wordlist_or_less;18
Mayoruna-Tabatinga;;von Martius, Carl Friedrich Philip 1867;wordlist_or_less;3
Menien;;Alfred Métraux 1930;wordlist_or_less;14
Mepuri;;Henri Ramirez 2020;wordlist_or_less;7
