Name;;MED;type;pages
Aché;;Jehan Vellard 1934, 1935;grammar_sketch;142
Amahuaca;;Russell, Robert 1975;grammar;108
Angaité;;Boggiani, Guido 1900;wordlist_or_less;27
Atorada;;Schomburgk, Richard Moritz 1847, 1848, 1848;wordlist_or_less;27
Avá-Canoeiro;;Borges, Mônica Veloso 2006;long_grammar;356
Cajatambo North Lima Quechua;;Cerrón-Palomino, Rodolfo 1987;phonology_or_text;5
Capanahua;;Loos, Betty H. and Loos, Eugene E. 1998;grammar_sketch;342
Chiquián Ancash Quechua;;Cerrón-Palomino, Rodolfo 2003;wordlist_or_less;54
Djeoromitxí;;Nádia N. Pires 1992;grammar_sketch;157
Huilliche;;Lenz, Rudolf and Calvun, Pehuenche Indian (Juan Kallvün) 1895-1897;grammar_sketch;67
Irántxe-Münkü;;Monserrat, Ruth Maria Fonini 2010;grammar;274
Itene;;Angenot-de-Lima, Geralda 2002;long_grammar;959
Japrería;;Flores, Elexander 2002;grammar_sketch;116
Jauja Wanca Quechua;;Cerrón-Palomino, Rodolfo 1976;grammar;283
Karipúna;;Betts, LaVera 2012;wordlist_or_less;60
Kaxuiâna;;Gildea, Spike 1997;phonology_or_text;15
Korubo;;de Oliveira, Sanderson Castro Soares 2009;phonology_or_text;60
Krenak;;Katia Nepomuceno Pessoa 2012;grammar_sketch;315
Kulina Pano;;Fleck, David W. 2010;phonology_or_text;18
Kwaza;;Hein van der Voort 2004;long_grammar;1064
Lokono;;Patte, Marie-France 2002;long_grammar;536
Makuráp;;Braga, Alzerinda de Oliveira 2005;grammar;255
Muinane;;de Vengoechea, Consuelo 2012;grammar_sketch;167
Nüpode Huitoto;;Minor, Dorothy A. and Minor, Eugene E. 1971;phonology_or_text;152
Ofayé;;Maria das Dores de Oliveira 2006;grammar;256
Pacaraos Quechua;;Adelaar, Willem F. H. 1987;grammar_sketch;110
Panao Huánuco Quechua;;Janet Hammer C. and Próspero Colonia M. and Dra. Jovita Villanueva P. 1997;grammar_sketch;60
San Martín Quechua;;Angela Margaret Howkins 1977;long_grammar;374
Santa Ana de Tusi Pasco Quechua;;Cerrón-Palomino, Rodolfo 2003;wordlist_or_less;54
Tenetehara;;da Silva, Tabita Fernandes 2010;grammar_sketch;573
Warekena do San Miguel;;González Ñáñez, Omar 2009;grammar;287
