Name;;MED;type;pages
Akuntsu;;Aragon, Carolina Coelho 2014;long_grammar;375
Arabela;;Rich, Rolland 1999;grammar_sketch;322
Arutani;;Migliazza, Ernesto 1967;phonology_or_text;2
Aruá (Rondonia State);;Čestmír Loukotka 1963;wordlist_or_less;1
Baré;;Cunha de Oliveira, Christiane 1993;grammar_sketch;146
Baure;;Swintha Danielsen 2007;long_grammar;500
Cafundo;;Silvio Vieira de Andrade Filho 1993;wordlist_or_less;
Carijona;;Theodor Koch-Grünberg 1908;grammar_sketch;112
Cauqui of Cachuy;;Matos, José 1956;grammar_sketch;44
Chamicuro;;Parker, Stephen G. 1994;phonology_or_text;105
Cocama-Cocamilla;;Vallejos Yopán, Rosa 2010;long_grammar;947
Guató;;Palácio, Adair Pimentel 1984;grammar;163
Huachipaeri;;Peck, Charles 2008 [1979];phonology_or_text;52
Huangascar-Topara-Yauyos Quechua;;Aviva Shimelman 2017;grammar;72
Iquito;;I-Wen Lai 2009;long_grammar;629
Isconahua;;Roberto Zariquiey 2015;grammar;224
Itonama;;Camp, Elizabeth L. and Liccardi, Millicent R. 1965;grammar_sketch;161
Iñapari;;Parker, Stephen G. 1995;grammar_sketch;104
Jebero;;John T. Bendor-Samuel 1979;grammar;179
Júma;;Abrahamson, Arne and Abrahamson, Joyce 1984;phonology_or_text;18
Kanoê;;Laércio Nora Bacelar 2004;long_grammar;326
Kuyubi;;Duran, Iris Rodrigues 2000;phonology_or_text;68
Maijiki;;Farmer, Stephanie J. 2015;grammar_sketch;126
Mapidian-Mawayana;;Marc Michels 2014;phonology_or_text;29
Mapoyo;;Tania Granadillo 1997;phonology_or_text;89
Mekens;;Vilacy Galucio, Ana 2001;long_grammar;505
Migueleño Chiquitano;;Andrey Nikulin 2019;phonology_or_text;92
Ocaina;;Fagua Rincon, Doris Patricia 2013;long_grammar;473
Omagua;;Lev Michael and Zachary O'Hagan 2016;grammar_sketch;191
Oro Win;;Popky, Donna 1999;grammar_sketch;62
Pacahuara;;Armentia, Nicolás de 1898;wordlist_or_less;49
Paraujano;;Patte, Marie-France 1989;grammar_sketch;135
Paunaka;;Swintha Danielsen and Lena Terhart 2014;grammar_sketch;38
Pisamira;;María Stella González de Pérez 2000;grammar_sketch;22
Puruborá;;Vilacy Galucio, Ana 2005;phonology_or_text;34
Qawasqar;;Christos Clairis 1985;long_grammar;528
Resígaro;;Allin, Trevor Reginald 1976;long_grammar;543
Reyesano;;Antoine Guillaume 2012;grammar_sketch;42
Sabanê;;Antunes de Araujo, Gabriel 2004;grammar;258
Shanenawa;;Gláucia Vieira Cândido 2004;grammar;290
Sirionó;;Schermair, Anselmo 1949;long_grammar;451
Sáliba;;Hortensia Estrada Ramírez 1996;grammar;263
Tariana;;Alexandra Aikhenvald 2003;long_grammar;729
Taruma;;Čestmír Loukotka 1949;wordlist_or_less;30
Taushiro;;Alicea, Neftalí 1975;grammar_sketch;118
Tehuelche;;Fernández Garay, Ana V. 1993;long_grammar;488
Tinigua;;Nubia Tobar Ortiz 2000;grammar_sketch;11
Trumai;;Raquel Guirardello 1999;long_grammar;475
Urubú-Kaapor Sign Language;;Ferreiro-Brito, L. 1983;wordlist_or_less;7
Warázu;;Henri Ramirez and Valdir Vegini and Maria Cristina Victorino de França 2017;phonology_or_text;32
Wayoró;;Nogueira, Antonia Fernanda de Souza 2019;phonology_or_text;203
Yabarana;;Méndez Arocha, A. 1959;wordlist_or_less;22
Yawalapití;;Ortega Mujica, Mitzila Isabel 1992;grammar_sketch;97
Yámana;;Julius Platzmann 1882;grammar_sketch;168
Záparo;;Moya, Ruth 2007;long_grammar;482
