Name;;MED;type;pages
Arequipa-La Unión Quechua;;Courtney, Ellen Hazlehurst 1998;grammar_sketch;327
Argentine Sign Language;;Massone, Maria Ignacia 1996;long_grammar;382
Aukan;;George L. Huttar and Mary L. Huttar 1994;long_grammar;631
Ayacucho Quechua;;Zariquiey, Roberto and Gavina Córdova 2008;grammar;288
Brazilian Sign Language;;André Nogueira Xavier and Regiane Pinheiro Agrella 2015;grammar_sketch;30
Caribbean Hindustani;;Mohan, Peggy Ramesar 1978;grammar;235
Caribbean Javanese;;Clare Wolfowitz 1983;grammar_sketch;167
Eastern Apurímac Quechua;;Leoncio Gutiérrez Camacho 2006;grammar_sketch;108
Ecuadorian Sign Language;;Román, Gabriel 2012;phonology_or_text;678
Guianese Creole French;;Schlupp, Daniel 1997;long_grammar;571
Guyanese Creole English;;Hubert Devonish and Dahlia Thompson 2010;grammar;149
Huaylla Wanca Quechua;;Aviva Shimelman 2017;grammar;72
Hup;;Patience Epps 2005;long_grammar;1134
North Bolivian Quechua;;Marr, Tim 1998;grammar_sketch;
Northern Lengua;;Unruh, Ernesto and Hannes Kalisch 1997;phonology_or_text;933
Papiamento;;Dan Munteanu 1996;grammar;259
Paraguayan Guaraní;;Ayala, José Valentín 1996;long_grammar;437
Paraguayan Sign Language;;Lichtenberger, Wilfried 1990;grammar_sketch;35
Peruvian Amazonian Spanish;;Barraza de la Cruz, Yris 1998;grammar_sketch;122
Puno Quechua;;Clodoaldo Soto Ruiz and Kurt Komarek and Marie-M. Büttner 1983, 1984;phonology_or_text;213
Saramaccan;;John H. McWhorter and Jeff Good 2012;grammar;246
South Bolivian Quechua;;Herrero, Joaquín and Sánchez de Lozada, Federico 1978;long_grammar;520
Southern Aymara;;Matt Coler 2014;long_grammar;799
Southern Lengua;;John A. Elliott 2021;long_grammar;818
Southern Pastaza Quechua;;Tödter, Christa and Zahn, Charlotte and Waters, William and Wise, Mary Ruth 2002;grammar_sketch;184
Sranan Tongo;;Maria Braun 2005;long_grammar;505
Tobagonian Creole English;;Winer, Lise 1993;grammar;190
Trinidadian Creole English;;Solomon, Denis 1993;grammar;228
Venezuelan Sign Language;;Freites, F. and F. J. Perez 2004;grammar_sketch;
Yaroame;;Helder Perri Ferreira 2011;grammar_sketch;75
Yora;;Lord, Mary Ann 2016;grammar_sketch;170
