Name;;MED;type;pages
Achagua;;Meléndez Lozano, Miguel Angel 1998;grammar;202
Achuar-Shiwiar;;Kohlberger, Martin 2020;long_grammar;422
Amarakaeri;;Heinrich Albert Helberg Chávez 1984;long_grammar;548
Andoque;;Jon Landaburu 1979;long_grammar;350
Angosturas Tunebo;;Casilimas Rojas, Clara Ines 1995;grammar_sketch;273
Apalaí;;Edward Koehn and Sally Koehn 1986;grammar;95
Apinayé;;Cunha de Oliveira, Christiane 2005;long_grammar;445
Apurinã;;Facundes, Sidney da Silva 2000;long_grammar;705
Araona;;Carola Emkow 2006;long_grammar;749
Araweté;;Solano, Eliete de Jesus Bararuá 2009;long_grammar;519
Awetí;;Sabine Reiter 2011;grammar_sketch;315
Ayoreo;;Branka J. Susnik 1963;grammar_sketch;146
Bakairí;;Karl von den Steinen 1892;grammar_sketch;224
Baniva de Maroa;;Socorro Sánchez, Marlene 2005;grammar;236
Baniwa do Icana;;Henri Ramirez 2001;long_grammar;482
Barasana-Eduria;;Gómez-Imbert, Elsa 1997;long_grammar;513
Barro Negro Tunebo;;Paul Rivet 1924;grammar_sketch;37
Bolivian Sign Language;;Holbrook, David J. 2009;wordlist_or_less;7
Bororo;;Thomas H. Crowell 1979;grammar;277
Cabiyarí;;Andrés Eduardo Reinoso Galindo 2009;phonology_or_text;31
Cajamarca Quechua;;Quesada Castillo, Félix 2006;grammar;208
Camsá;;O'Brien, Colleen Alena 2018;grammar;278
Candoshi-Shapra;;Anderson, Loretta and Wise, Mary Ruth 1963;grammar_sketch;36
Canela-Krahô;;Miranda, Maxwell Gomes 2014;long_grammar;317
Caquinte;;Swift, Kenneth E. 1985;grammar;230
Carapana;;Ronald G. Metzger 1981;grammar;251
Cashibo-Cacataibo;;Zariquiey Biondi, Roberto 2011;long_grammar;885
Cashinahua;;Eliane Camargo 1991;long_grammar;471
Cavineña;;Antoine Guillaume 2008;long_grammar;924
Central Tunebo;;Headland, Edna 1997;grammar;288
Cha'palaa;;Vittadello, P. Alberto 1988;grammar;253
Chachapoyas Quechua;;Gerald Taylor 2000;grammar_sketch;54
Chaima;;de Tauste, Francisco 1680;grammar_sketch;54
Chamacoco;;Susnik, Branislava 1957;grammar_sketch;186
Chimila;;Trillos Amaya, María 1996;grammar;216
Chipaya;;Cerrón-Palomino, Rodolfo 2006;long_grammar;327
Chiripá;;Nogueira, Baptista Caetano de Almeida 1879;grammar_sketch;190
Cinta Larga;;Sandberg, Clive D. 1988;grammar_sketch;20
Cofán;;Tobar Gutiérrez, María Elena 1995;grammar_sketch;260
Cogui;;Karl Theodor Preuss 1919/1920, 1919/1920, 1921/1922, 1921/1922, 1923/1924, 1925, 1925, 1925, 1926, 1926, 1926, 1927, 1927;grammar_sketch;264
Colombian Inga;;Levinsohn, Stephen H. and Galeano L., Luis G. 1981;grammar;214
Colonia Tovar German;;Perkins, Renate Redlich 1978;long_grammar;415
Cubeo;;Chacon, Thiago Costa 2012;long_grammar;397
Cuiba;;Kerr, Isabel J. 1995;long_grammar;439
Culina;;Stefan Dienst 2006;long_grammar;740
Deni;;de Carvalho, Mateus Cruz Maciel 2017;grammar;205
Desano;;Silva, Wilson de Lima 2012;long_grammar;322
Dâw;;Silvana Andrade Martins 2004;long_grammar;706
Enawené-Nawé;;de Rezende, Ubiray Nogueira 2003;phonology_or_text;157
Ese Ejja;;Marine Vuillermet 2012;long_grammar;752
Fulniô;;da Costa, Januacele 1999;long_grammar;388
Galibi Carib;;W. Ahlbrinck 1956;long_grammar;544
Gavião Do Jiparaná;;Denny Moore 1984;grammar;299
Guajá;;Marina Maria Silva Magalhães 2007;long_grammar;315
Guana (Paraguay);;Unruh, Ernesto and Hannes Kalisch 1999;grammar_sketch;82
Guarayu;;Hoeller, Alfredo 1932;grammar;167
Guayabero;;Keels, Jack 1984;grammar_sketch;68
Hixkaryána;;Derbyshire, Desmond C. 1979;long_grammar;303
Hoti;;Vilera Díaz, Diana 1985;grammar_sketch;175
Huambisa;;Peña, Jaime G. 2015;long_grammar;971
Hunsrik;;Cléo Vilson Altenhofen 1996;phonology_or_text;154
Ignaciano;;Olza Zubiri, Jesús and Nuni de Chapi, Conchita and Juan Tube 2004;long_grammar;1034
Ikpeng;;Pachêco, Frantomé Bezerra 2001;grammar;290
Iyo'wujwa Chorote;;Ana Gerzenstein 1983;grammar;228
Iyojwa'ja Chorote;;Javier Carol 2014;long_grammar;469
Jaqaru;;Martha J. Hardman 1983;grammar;266
Jurúna;;Cristina Martins Fargetti 2001;long_grammar;302
Kadiwéu;;Sandalo, Maria Filomena 1995;grammar;291
Kakua;;Katherine Bolaños 2016;long_grammar;415
Kamayurá;;Lucy Seki 2000;long_grammar;519
Karajá;;Ribeiro, Eduardo Rivail 2012;long_grammar;301
Karitiâna;;Luciana Storto 1999;long_grammar;753
Karo (Brazil);;Gabas, Jr., Nilson 1999;long_grammar;320
Katukína-Kanamarí;;dos Anjos, Zoraide 2011;long_grammar;448
Kaxararí;;Cavalcante Sousa, Gladys 2004;phonology_or_text;122
Kayabí;;Rose Dobson 1997;grammar;153
Kayapó;;Lucivaldo Silva da Costa 2015;long_grammar;359
Koreguaje;;Cook, Dorothy M. and Criswell, Linda L. 1993;grammar;111
Kotiria;;Kristine Stenzel 2013;long_grammar;536
Kuikúro-Kalapálo;;Franchetto, Bruna 1986;long_grammar;605
Lambayeque Quechua;;Taylor, Gerald 1999;grammar;172
Lomeriano-Ignaciano Chiquitano;;Jesús Galeote Tormo 1993;long_grammar;394
Maca;;Ana Gerzenstein 1994;grammar;256
