Name;;MED;type;pages
Aguaruna;;Overall, Simon 2017;long_grammar;662
Aikanã;;Vasconcelos, Ione P. 2004;grammar_sketch;78
Ajyíninka Apurucayali;;David L. Payne and Judith K. Payne and Jorge Sanchez Santos 1982;long_grammar;311
Akawaio-Ingariko;;Caesar-Fox, Desrey Clementine 2003;long_grammar;591
Ambo-Pasco Quechua;;Ralph Toliver 2005;grammar_sketch;96
Amundava;;Betts, LaVera 2012;wordlist_or_less;60
Arhuaco;;Frank, Paul Stephen 1985;grammar;194
Asháninka;;Esaú Zumaeta Rojas and Zerdin, Gerardo Anton 2018;grammar_sketch;288
Ashéninka Pajonal;;Luzmila Casique-Chochoki and Amalia Casique-Shewantoki and Zerdin, Gerardo Anton 2018;grammar_sketch;294
Ashéninka Perené;;Elena Mihas 2015;long_grammar;709
Awa-Cuaiquer;;Timothy Curnow 1997;long_grammar;399
Barí;;Diego J. Quesada 2004;grammar_sketch;15
Bolivar-North Chimborazo Highland Quichua;;Ross, Ellen M. 1963;long_grammar;300
Bora;;Thiesen, Wesley and David Weber 2012;long_grammar;583
Border Kuna;;Forster, D. Keith 2011;long_grammar;331
Calderón Highland Quichua;;Catta Q., Javier 1994;long_grammar;301
Cañar-Azuay-South Chimborazo Highland Quichua;;Grimm, Juan 1896;grammar;135
Central Aymara;;Wexler, Paul 1967;long_grammar;502
Chilean Sign Language;;Adamo, Dora 1993;grammar_sketch;
Chácobo;;Adam J. R. Tallman 2018;long_grammar;1422
Colombian Sign Language;;Oviedo, Alejandro 2001;long_grammar;416
Corongo Ancash Quechua;;Hintz, Daniel J. and Ballena D., Marlene 2000;grammar;261
Curripaco;;Tania Granadillo 2006;grammar_sketch;235
Cusco Quechua;;von Tschudi, J. J. 1884;long_grammar;551
Eastern Bolivian Guaraní;;Wolf Dietrich 1986;long_grammar;356
Emberá-Baudó;;Mauricio Pardo Rojas 1985;grammar_sketch;
Emberá-Catío;;Ángel Cayo Atienza 2002;grammar_sketch;176
Emberá-Chamí;;Aguirre Licht, Daniel 1999;grammar;164
Emberá-Tadó;;White, Robert Blake 1884;wordlist_or_less;16
Epena;;Philip L. Harms 1994;grammar;227
Guahibo;;Queixalós, Francisco 1995;long_grammar;918
Guambiano;;Vásquez de Ruiz, Beatriz 1988;grammar;165
Huallaga Huánuco Quechua;;Weber, David J. 1996;long_grammar;641
Huamalíes-Dos de Mayo Huánuco Quechua;;Stewart, Anne M. 1982;phonology_or_text;19
Huaylas Ancash Quechua;;Gary Parker 1976;grammar;187
Imbabura Highland Quichua;;Ott, Clarence E 1971;long_grammar;1061
Inmaculada Sign Language;;Brenda Clark 2017;wordlist_or_less;22
Kaingang;;Maria Sueli Ribeiro da Silva 2011;grammar;263
Kaiwá;;John Michael Taylor and Audrey Helen Taylor 1966;grammar_sketch;63
Kwinti;;Huttar, George L. 1988;wordlist_or_less;16
Lakondê;;Telles de Araujo Pereira Lima, Stella 2002;grammar;206
Latundê;;Telles de Araujo Pereira Lima, Stella 2002;grammar;206
Loja Highland Quichua;;Carpenter, Lawrence Kidd 1982;grammar_sketch;27
Maco;;Rosés Labrada, Jorge E. 2015;long_grammar;589
Margos-Yarowilca-Lauricocha Quechua;;Bean, Mark 1989;phonology_or_text;18
Mashco Piro;;Steve Parker 2015;wordlist_or_less;13
Mbyá Guaraní;;Martins, Marci Fileti 2003;grammar;220
Mosetén-Chimané;;Jeanette Sakel 2004;long_grammar;535
Nanti;;Michael, Lev David 2008;grammar;244
Napo Lowland Quechua;;Orr, Carolyn 1981;grammar_sketch;41
Ninam;;Goodwin Gómez, Gale 1990;long_grammar;346
North Junín Quechua;;Willem Adelaar 1977;long_grammar;510
Northern Conchucos Ancash Quechua;;James F. Wroughton 1988;grammar;110
Northern Emberá;;Loewen, Jacob Abram 1958;grammar;295
Northern Pastaza Quichua;;Nuckolls, Janis B. 1990;grammar_sketch;196
Pai Tavytera;;Valéria Faria Cardoso 2008;grammar;279
Panare;;Thomas E. Payne and Doris L. Payne 2013;long_grammar;486
Pará Arára;;Alves, Ana Carolina Ferreira 2017;grammar;223
Patamona;;Walter F. Edwards 1978;phonology_or_text;4
Pemon;;Cesareo de Armellada 1948;long_grammar;308
Piaroa;;Krute, Laurence Dana 1989;long_grammar;330
Pichis Ashéninka;;Payne, Judith K. 1989;long_grammar;502
Pirahã;;Everett, Daniel Leonard 1983;long_grammar;431
Páez;;Díaz Montenegro, Esteban 2019;long_grammar;817
San Blas Kuna;;Erice, Jesús 1980;grammar;298
Santiago del Estero Quichua;;Sergio Grigórieff 1935;long_grammar;350
Sharanahua;;Carla Maria Cunha 1993;grammar;191
Shawi;;Rojas-Berscia, Luis Miguel 2019;grammar_sketch;267
Shipibo-Conibo;;Pilar M. Valenzuela 2003;long_grammar;1063
Shuar;;na 1972;grammar;
Sihuas Ancash Quechua;;Félix Quesada Castillo 2013;grammar_sketch;15
Sivia Sign Language;;Brenda Clark 2017;long_grammar;362
South Ucayali Ashéninka;;Heitzman, Allene 1973;wordlist_or_less;3
Southern Conchucos Ancash Quechua;;Diane J. Hintz 2007;grammar_sketch;446
Tawandê;;Santana, Nelivaldo Cardoso 2010;phonology_or_text;74
Tena Lowland Quichua;;Grzech, Karolina Zofia 2016;grammar_sketch;225
Terena-Kinikinao-Chane;;Ekdahl, Elizabeth Muriel and Butler, Nancy Evelyn 1979;grammar;223
Ticuna;;Denis Bertet 2020;long_grammar;668
Toba;;Harriet E. Manelis Klein 2001;long_grammar;558
Tucano;;Brüzzi Alves da Silva, Alcionilio 1966;long_grammar;403
Uaçá Creole French;;Tobler, S. Joy 1983;grammar;156
Ucayali-Yurúa Ashéninka;;García Salazar, Gabriela 1993;grammar_sketch;139
Wapishana;;Manoel Gomes dos Santos 2006;grammar;298
Warao;;de Olea, Bonifacio María 1928;long_grammar;445
Wayuu;;Mansen, Karis and Mansen, Richard A. 1984;long_grammar;708
Wichí Lhamtés Güisnay;;Juan Pelleschi 1896, 1897;grammar;242
Wichí Lhamtés Nocten;;Jimena Terraza 2009;grammar;293
Wichí Lhamtés Vejoz;;Verónica Nercesian 2011;long_grammar;637
Xavánte;;Machado Estevam, Adriana 2011;long_grammar;508
Yaminahua;;Eakin, Lucille 1991;grammar;194
Yanomamö;;Henri Ramirez 1994;long_grammar;440
Yawanawa;;Aldir Santos de Paula 2004;long_grammar;302
Yuhup;;Ospina Bozzi, Ana Maria 2002;long_grammar;484
Yukpa;;Niño Segovia, Elena 1999;grammar_sketch;158
Yãnoma;;Ferreira, Helder Perri and Machado, Ana Maria Antunes and Senra, Estevão Benfica 2019;wordlist_or_less;36
