6,0,7,9,3,16,11,5,18,1,8,12,2,10,15,14,4,13,17
'achanpas,'akunanpaq,'aq,'inchasun,aj,ajllakunan,ajllakuyta,ajílaspa,ajílasqa,allin,allinkayninta,allinkunapas,allinruna,allinta,amparakunanpaq,ashwanta,ayllu,chaninchan,chunka
'unchaykama,ancha,atinmi,estadonkuna,atinchu,atiqtin,atin,apachisqanchista,chaypaq,artes,allinninpaqmi,atinmanchu,ashkha,atinchischo,churaspa,aslíapas,chanintan,churaykukuspa,ishkay
gobiernonchispa,asamblea,cheqaspipas,junt'akunan,chaytapas,churasqan,atinchi,atikunchu,churaspapas,chaninchasqa,anchatan,ch'uyaman,ashwan,imayna,derechunta,chayqa,chanintaqa,de,ishkaychunka
ilaqtanmanta,aypanan,cheqastapas,juñuykunakuspan,cheqniytapas,escuela,casarakuyta,carta,churasqa,chay,ayllun,chayaspa,chayman,iñiqpas,jallp'apas,churay,chaskinan,declaración,ishkayniyoq
jananchakunanpaq,aypanchu,iguallían,kamachisqanta,derechunmí,iman,chayaspaqa,casadoq,kamachiyta,chaykuna,ayllunchispi,chaytaqa,cheqnisqaña,juq,junt'achinankupaq,jananchakuspa,educacionqa,derechos,ishqonniyoq
janpiqnin,chaymi,imamantaña,llaqtakunapi,derechuyoq,kamasqan,chaykunata,chaninmanta,kaspaqa,común,ch'ulla,chaywantaq,jayk'an,kamaq,kayninta,jark'akusqan,imaynan,gobiernon,iskaychunka
kananmi,ciencia,imaymana,llaqtakunapitaqmi,ichaqa,kapun,chaymantaqa,chaskinanchista,kausaypas,derechon,ch'ullallata,churana,jaykunan,kausakusqantapas,leywan,junt'achinanpaq,jamautayoq,humanos,isqon
kanantaqmi,derecho,juñunakuytaqa,llaqtakunawan,imaynatas,llank'ayqa,colegio,eleccionispí,kikillantaqmi,honranta,chayan,ima,juchachasqa,mama,llakimanta,junt'asqa,jina,humanostaq,isqonniyoq
kaqllataq,filosofía,juñuykunakun,lluy,jamutay,llank'ayta,derechun,flisqa,kikinpas,juchayuqman,chaypistaqchá,jananchasqa,k'apaj,mamachakunapi,llaqtanwan,kausanankupaq,juñunakuyqa,jaykunanchista,jujniyoq
kausanan,jallp'api,kachun,manapitapas,jark'akuyta,munasqan,educación,juchayoq,llank'ananpaqpas,junt'akunanpaqtaqmi,chitasqan,jark'ayta,kanan,organización,llaqtapi,kushkachasqalla,kallpanpa,jaywarin,juqniyoq
kausay,jatun,kanchis,manchakuspa,juchachaytapas,nacionpi,jamut'ayta,jujta,llaqtanta,juntakunanta,derechunmi,jaykunanchu,kananpaqmi,pacha,mayña,kuti,kananpaq,jinataqmi,kinsa
kayta,junt,kaqtinpas,munduntin,juj,onqoqtin,jinallataq,kaqninpas,mashki,kamachikuy,kamachinakunku,juchanman,kanmi,qharipas,mikhuytapas,munanakunku,kananpunin,juñunaykusqa,kinsachunka
kaytaqa,kamachikuypaqqa,kikillan,munduntinpi,k'irisqan,qonqaypachaman,jurqon,kasqanpaq,mink'anta,kamasqa,kamachipi,juchayoqcho,kaqllataqmi,rimanakunku,munaqtinpas,munaqkunaqa,kasqanman,kamachikuyta,kinsayoq
llaqtakunaq,kamachikuyqa,kushka,munduq,k'umuchisqan,runapaq,kamachikuq,kasqanpas,nacionninta,kananchista,kan,justicia,kaspapas,rimaqtan,nacionninwan,p'unchay,kausananpaq,kamachiqninchis,phisqa
